author_name,rating,published_at,text,author_image_url
Aiman Aiman,5.0,sebulan lalu,"Suasana nyaman sekali, pelayanannya juga ramah apalagi mbak mbak bagian jaga didepan selalu tersenyum namanya mbak iklimatus, semangat terimakasih gacoan Jember",https://lh3.googleusercontent.com/a/ACg8ocJDQfoiUoG6cMSi1epOmGpNJPkYeqCtUT7lJGn4y-12QntQHw=w36-h36-p-rp-mo-br100
tw nyass,5.0,2 bulan lalu,Pelayanan cepat. Rasanya tetep enak. Size dimsumnya gede. Kebersihan terjaga,https://lh3.googleusercontent.com/a-/ALV-UjWV0eCFdxxkG0iL49XyVNDbTZt4YDLylQjZZB4gx4BELF5O2Ev5=w36-h36-p-rp-mo-ba4-br100
Ria Dewi,5.0,2 bulan lalu,"Baru pertama ke GACOAN Jember
rame sekalii
Untuk rasa semua gacoan sama ya …",https://lh3.googleusercontent.com/a-/ALV-UjU6pVIGu4sMS3Ix-jBcjesSMeEmNX0GXKXRtSP6YPuOnVvNWXM=w36-h36-p-rp-mo-br100
Trii Wahyuni,5.0,4 bulan lalu,"Peningkatan banget semuanya. Dari segi pelayanan, dari segi tempatnya. best pokoknya. Jadi lebih efisien. Cuma agak panas aja, diikiiitt 😁 …",https://lh3.googleusercontent.com/a-/ALV-UjU2tb187b-2OLoCW45BGZB_0UFZJHvW_prX76aSMEiNhe1lF2ah=w36-h36-p-rp-mo-br100
Sipaling ada,5.0,3 minggu lalu,sungkemmmmmm dulu sama gcoan jember se enak itu se nyaman itu se care itu pelayanan okee bngt ini si ter dabestttttt tempatnya makanannya pelayanannyaaaaaa gongg bagtt udahhhhh 😍😍😍😍😍😍😍😍❤️❤️✨️😍 …,https://lh3.googleusercontent.com/a/ACg8ocIXiEkfaeN3vbmsGTbeNDxELqO83OByVA5vdF20RN2P3ZLi5A=w36-h36-p-rp-mo-br100
Hairun Nisa,5.0,3 bulan lalu,"Pelayanan bagus,mie favorit ga pernah bosen kalo ke gacoan",https://lh3.googleusercontent.com/a/ACg8ocIM7-7LV-zYI6bgA8EUJ0kvmDmDahxdPQNsxQDv5UgFb8OJGg=w36-h36-p-rp-mo-br100
AA' FAJAR,5.0,sebulan lalu,Boommmmmmmm bngtt rekk jemban wong Jember wong semua karna cinta wajib ke gacoan jembr ini siiiiii tempat luassss aduhaiii bagtt dehhh pokoknyaaaaaaaaa manusia mana yang gasuka gacoannn sinii majuuuuuuuuu #gaongariskeras🔥❤️🔥❤️🔥❤️🔥☝️🌹🥰🌷💞 …,https://lh3.googleusercontent.com/a/ACg8ocKI4UmGv7_V0Qrx-xgqVDBN312EYZZkixkgUtXKGhHUMoH-ZQ=w36-h36-p-rp-mo-br100
Ridwan Hanif,1.0,2 minggu lalu,"semalam saya pesan via ojol, pesanan tidak sesuai dengan struk pembelian, saya sudah sering alami hal ini, karyawan gacoan tidak teliti, tolong setiap pesanan di cek lagi sebelum di kirim via ojol. Karyawan bagian Quality Control harus …",https://lh3.googleusercontent.com/a/ACg8ocKzuozFJLkI0EpEEsJuhEkg1PT-fQai6nrwDLNV5d2iAy3-bQ=w36-h36-p-rp-mo-br100
Yunita tri Agustin,5.0,sebulan lalu,"Tempatnya lebih luas,pelayanan baik...tidak pernah mengecewakan selalu bikin ketagihan",https://lh3.googleusercontent.com/a-/ALV-UjWaK0jSKR9gR8BBX9SH8ECMYw-zt0HURWEkDxXJK1gocDfCpzak=w36-h36-p-rp-mo-br100
Eri Andriani,3.0,sebulan lalu,"Toiletnya ga bersih, sementara waktu tunggu yg lama kdng bikin kita Harus ke toilet yg aaauuuh ah....",https://lh3.googleusercontent.com/a-/ALV-UjVbWGJdDtcShimSkZzuYoOHlX3-y9wjmlskwdrnf3YDxgvwJ-7aPw=w36-h36-p-rp-mo-ba3-br100
Igun LD,5.0,4 bulan lalu,"setelah sekian lama, gacoan berpindah ke tempat yg lebih luas
sama dengan gacoan di kota lain, tempatnya luas, memang agak sedikit panas dan ketika pesenan selesai, nama yg dipanggil kurang kedengaran jelas, saran untuk …",https://lh3.googleusercontent.com/a-/ALV-UjX_NsCpAzfOQUQoBJOgD5FneT_iJayswK4MDPUks60un58w_JISbg=w36-h36-p-rp-mo-ba3-br100
Nuraura Nafisah,5.0,3 bulan lalu,"Sukaa bgt sama gacoan yang baruuu,pelayanan cepat, tempat bersihh akan selalu langganann",https://lh3.googleusercontent.com/a-/ALV-UjXJ609dAYtv3elUvG5wH6pNZRPEiFxmkMF9BUm6fw6Dxz7sBSyp=w36-h36-p-rp-mo-br100
fhify weary,5.0,2 bulan lalu,"Makannya bikin nagih pool. Enak banget..
Pelayanannya ramah banget apalagi yang namanya mas adit baik dan sopan banget terimakasih mas adit",https://lh3.googleusercontent.com/a-/ALV-UjVKOR3qYhf-H1JN1nE3SfQnylpMnujxn_GpqtsBod0g3a6bg-RX=w36-h36-p-rp-mo-ba2-br100
Febrin Khoirunnisak,5.0,sebulan lalu,"Makanan enak, tempatnya makin luas daripada yang di sumatra duluu, sippp",https://lh3.googleusercontent.com/a/ACg8ocKJmZOS9GRcINCZowTBnoC5Km0jEm7ga1Sfi5BawzJYe-_LNw=w36-h36-p-rp-mo-br100
Aura Earlita,5.0,4 bulan lalu,"Sangat suka dengan pelayanan nya, makanan nya enak + pelayanan nya ramah
Saya mendapatkan nomer meja dengan cepat",https://lh3.googleusercontent.com/a/ACg8ocIpufuLEEVNzrDktfuiVbc9mo1uWyTPHX7QBvhuxaAGSuJ2zg=w36-h36-p-rp-mo-br100
shkyel 21,5.0,3 bulan lalu,"seruu bngtt luass jauh lebih luas daripada yg lamaa, trus makanannya jg lebih cepet datengnya✋🏻😆🤍🤍 …",https://lh3.googleusercontent.com/a-/ALV-UjXkD_Ji0xLWpX5YTL15jF76VAfyUYBS9bvken4fC3NA9CTsCtmv=w36-h36-p-rp-mo-br100
Rahma Aulia,5.0,4 bulan lalu,"Gacoan jember resto baru the best, bener2 konsisten pelayannya cepat dan bagus apalagi MAS RAGIL, super duper ramah, baru dateng langsung dapet kursi, sekarang bisa pesan dimeja gaperlu antri berdiri dikasir lebih nyaman
Sukses gacoan jember",https://lh3.googleusercontent.com/a-/ALV-UjUnRH7EyL26Xnpgh_Z5mX6-0ewexSfSqTqHDg9kbRSqSa8uhsQ=w36-h36-p-rp-mo-br100
Muhammad Didit Dermawan,4.0,sebulan lalu,"tempat baru lebih luas dan nyaman, pelayanan baik, pesanan cepat jika tidak ramai, cenderung ramai",https://lh3.googleusercontent.com/a/ACg8ocK-APMd2U7-CrzTemqRLVz7LxVUFgWxruAuktS1lyAeFTLW3g=w36-h36-p-rp-mo-br100
