author_name,rating,published_at,text,author_image_url
Risma Zakia,5.0,4 bulan lalu,"Akhirnya bintang sempurna gacoann jemberr the best😍😍 peningkatan luar biasa👍🏻👍🏻
- PELAYANAN CEPAT 25 MENIT SAMA NGASIR💯
- TEMPAT DUDUK BANYAK LUAS SEKALI PARKIR GAPERLU RIBET KYAK DLUU YG DI JALAN …",https://lh3.googleusercontent.com/a-/ALV-UjV0Fjh_ZcJSHS-gng7W080q-IVp5waPPfstRV7bAzjDQKcAFThwrw=w36-h36-p-rp-mo-ba3-br100
Syifa Najuwa,2.0,3 bulan lalu,"Makanannya enak² aja, cuma gak kuat bgt lamanya. Sampe sini jam 19.00, smpe jam 20.11 makanan belum juga dateng.
Masih ada nunggu kursi, nunggu minuman, nunggu dimsumnya dan trakhir nunggu …",https://lh3.googleusercontent.com/a-/ALV-UjWOnE2vjxSEYvegjAlrA0_sjEB7lvMfOVmGCuJsooWqPlVQXO9R=w36-h36-p-rp-mo-br100
Iftitah Khoirina Savitri,4.0,3 bulan lalu,"tempatnya bagus, luas. tapi kalau lagi rame kadang tempat duduknya pun kosong, harus nunggu. mienya enak, smuanya enak sih dengan harga 10k an. parkir motor 2k, gojek 1k. parkir sudah pake kaya di roxy, pelayanan oke, antri tidak lama. …",https://lh3.googleusercontent.com/a-/ALV-UjVmclV6-qMMt98mKbIr9UBIqfbeOk8UaMYD-ELW-QGDbqkZ6X10=w36-h36-p-rp-mo-ba5-br100
Violaa,5.0,4 bulan lalu,"sangatt suka tempat gacoan terbaru ,tempatnya lebih luas dan lebih estetikk hehee, musholla juga lebih baik dari sebelumnya apalagi kamar mandinya sangat jauh lebih baik🤟🏻🤟🏻🤟🏻🤟🏻hanya saja saat mengantri sedikit lama ,namun tempat yang disediakan banyakk. cukupp puas dengan gacoan terbaru ini😽😽😽😽😂😂 …",https://lh3.googleusercontent.com/a-/ALV-UjW1xljzVfIHYL0gmfdajORPk2cWh2xod7FY47hOf7SzeFl5zFY=w36-h36-p-rp-mo-br100
Siti Muflihatul Kamilah,5.0,2 bulan lalu,"Suka bgt sama mie dan udang rambutannya, pelayannya ramah, terimakasih",https://lh3.googleusercontent.com/a-/ALV-UjVEIdLTINU8m_vJT8V_MB_ZsQEY9TPnVVNHxSGAkqmLSZ6cxPWUPQ=w36-h36-p-rp-mo-ba4-br100
Putri Maulidia,5.0,3 bulan lalu,"Tempat yg sekarang jauh lebih luas parkirannya juga luas sekali, untuk rasanya masih sama seperti dicabang yg lama, hanya saja memang menunggu pesannya agak lama meskipun dine in biasanya minuman dan dimsum keluar lebih dulu lalu mienya …",https://lh3.googleusercontent.com/a/ACg8ocKfwnYKCfHhNml-mZAQxE8TGoG8J6WiOnSowaG6v_FXa5RJGw=w36-h36-p-rp-mo-ba4-br100
zoraya trsyarinduu,5.0,4 bulan lalu,"Gacoan jember yang sekarang sangat luas dan nyaman, apalagi pelayannya  sat set walaupun waiting list tidak terlalu lama dapet nomer meja, APALAGI MBAK DINI,sangat ramah,waktu scan barcode agak eror lngsung dibantu sm mbak dini heheheh,semangat terusss!! sukses gacoan jember💖 …",https://lh3.googleusercontent.com/a/ACg8ocLWKzNXIqt-ypvqhtcE6duwj3wRCC0v7YHzLmmHk7zONcEAzg=w36-h36-p-rp-mo-br100
Ftmtzahraa_27,5.0,2 bulan lalu,"Tempatnya lebih luas,bersih pelayanannya ramah, pelayanannya cepet meskipun antriannya pajang bangett",https://lh3.googleusercontent.com/a/ACg8ocJCHvJaJeeN9Yp5kdNCR_KOXLVBf6msDl7LSNVTYBh8ri8sOQ=w36-h36-p-rp-mo-br100
daris Tholol,5.0,sebulan lalu,"#gacoangariskeras
#cintagacoan
Rasanyaaaa melayang rekkkkkkkkk duhh pedesnya nampolllll mienya gurih …",https://lh3.googleusercontent.com/a-/ALV-UjWH-8Uupdicz4TdO7WElynGMigz6h83Dlm5sgIDwjb_D45p_geA=w36-h36-p-rp-mo-br100
Khansa Zenles,5.0,sebulan lalu,Yang mau ke sini siap siapin perut kosong soalnyaaa makanannya enak semuaaaaaaaaa dan pelayanannya ramah ramahh dan 1 lagiii tempatnya luassss bngttt dan selalu nyamann sama servicenyaaaa,https://lh3.googleusercontent.com/a/ACg8ocKWWWvwErY6xMOW7f0PCN_Rq9Sq5TBthPiF3lgsfzdpD3cWIw=w36-h36-p-rp-mo-br100
